target_name,category,target_query,uniprot_id,full_ncbi_query,retmax,ncbi_hits_reported,hit_count_capped_at_retmax,patent_intermediate_rows,final_master_rows,unique_patents_final,unique_accessions_final,manual_ncbi_url,google_patents_query,google_patents_url,uspto_manual_query,manual_validation_status
HER2,Oncology,anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab,P04626,"(anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,129,89,10,89,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-HER2+OR+anti-ERBB2+OR+trastuzumab+OR+pertuzumab+OR+margetuximab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-HER2+OR+anti-ERBB2+OR+trastuzumab+OR+pertuzumab+OR+margetuximab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""HER2"" antibody variable region",not_started
EGFR,Oncology,anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab,P00533,"(anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,98,76,9,76,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-EGFR+OR+anti-ERBB1+OR+cetuximab+OR+panitumumab+OR+necitumumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-EGFR+OR+anti-ERBB1+OR+cetuximab+OR+panitumumab+OR+necitumumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""EGFR"" antibody variable region",not_started
HER3,Oncology,anti-HER3 OR anti-ERBB3 OR patritumab,P21860,"(anti-HER3 OR anti-ERBB3 OR patritumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,52,45,6,45,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-HER3+OR+anti-ERBB3+OR+patritumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-HER3 OR anti-ERBB3 OR patritumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-HER3+OR+anti-ERBB3+OR+patritumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""HER3"" antibody variable region",not_started
CD20,Oncology,anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab,P11836,"(anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,99,75,11,75,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD20+OR+anti-MS4A1+OR+rituximab+OR+obinutuzumab+OR+ofatumumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD20+OR+anti-MS4A1+OR+rituximab+OR+obinutuzumab+OR+ofatumumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD20"" antibody variable region",not_started
CD19,Oncology,anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab,P15391,"(anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,105,84,8,84,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD19+OR+blinatumomab+OR+loncastuximab+OR+tafasitamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD19+OR+blinatumomab+OR+loncastuximab+OR+tafasitamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD19"" antibody variable region",not_started
CD3,Oncology,anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab,P07766,"(anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,60,35,5,35,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD3+OR+anti-CD3E+OR+blinatumomab+OR+teplizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD3+OR+anti-CD3E+OR+blinatumomab+OR+teplizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD3"" antibody variable region",not_started
CD38,Oncology,anti-CD38 OR daratumumab OR isatuximab OR mezagitamab,P28907,"(anti-CD38 OR daratumumab OR isatuximab OR mezagitamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,178,no,103,56,6,56,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD38+OR+daratumumab+OR+isatuximab+OR+mezagitamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD38 OR daratumumab OR isatuximab OR mezagitamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD38+OR+daratumumab+OR+isatuximab+OR+mezagitamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD38"" antibody variable region",not_started
BCMA,Oncology,anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab,Q02223,"(anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,119,118,5,118,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-BCMA+OR+anti-TNFRSF17+OR+teclistamab+OR+elranatamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-BCMA+OR+anti-TNFRSF17+OR+teclistamab+OR+elranatamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""BCMA"" antibody variable region",not_started
GPRC5D,Oncology,anti-GPRC5D OR talquetamab,Q9NZD1,"(anti-GPRC5D OR talquetamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,2,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-GPRC5D+OR+talquetamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-GPRC5D OR talquetamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-GPRC5D+OR+talquetamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""GPRC5D"" antibody variable region",not_started
FcRH5,Oncology,anti-FcRH5 OR anti-FCRL5 OR cevostamab,Q96RD9,"(anti-FcRH5 OR anti-FCRL5 OR cevostamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,0,no,0,0,0,0,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-FcRH5+OR+anti-FCRL5+OR+cevostamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-FcRH5 OR anti-FCRL5 OR cevostamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-FcRH5+OR+anti-FCRL5+OR+cevostamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""FcRH5"" antibody variable region",not_started
CD33,Oncology,anti-CD33 OR gemtuzumab,P20138,"(anti-CD33 OR gemtuzumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,32,no,25,24,4,24,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD33+OR+gemtuzumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD33 OR gemtuzumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD33+OR+gemtuzumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD33"" antibody variable region",not_started
CD22,Oncology,anti-CD22 OR inotuzumab OR moxetumomab,P20273,"(anti-CD22 OR inotuzumab OR moxetumomab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,16,16,3,16,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD22+OR+inotuzumab+OR+moxetumomab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD22 OR inotuzumab OR moxetumomab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD22+OR+inotuzumab+OR+moxetumomab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD22"" antibody variable region",not_started
CD30,Oncology,anti-CD30 OR anti-TNFRSF8 OR brentuximab,P28908,"(anti-CD30 OR anti-TNFRSF8 OR brentuximab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,80,16,3,16,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD30+OR+anti-TNFRSF8+OR+brentuximab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD30 OR anti-TNFRSF8 OR brentuximab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD30+OR+anti-TNFRSF8+OR+brentuximab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD30"" antibody variable region",not_started
